subject,condition,repeat,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
money,3002,1,0.458395,0.136926,1.713035,0.294396,0.249681,91.977136
money,3002,2,0.458395,0.268741,1.713035,1.495327,0.249681,91.977136
money,3002,3,0.458395,0.233084,1.713035,0.259633,0.249681,91.977136
money,3002,4,0.458395,0.120186,1.713035,0.462369,0.249681,91.977136
money,3002,5,0.458395,0.321441,1.713035,0.470711,0.249681,91.977136
money,3002,6,0.458395,0.130895,1.713035,0.380006,0.249681,91.977136
money,3002,7,0.458395,0.271895,1.713035,0.091922,0.249681,91.977136
money,3002,8,0.458395,0.356025,1.713035,1.014430,0.249681,91.977136
money,3002,9,0.458395,0.325998,1.713035,1.572272,0.249681,91.977136
money,3002,10,0.458395,0.187841,1.713035,0.925166,0.249681,91.977136
money,3004,1,0.253355,0.200143,49.999978,45.559826,0.907763,21.849097
money,3004,2,0.253355,0.143162,49.999978,44.558453,0.907763,21.849097
money,3004,3,0.253355,0.242261,49.999978,48.769483,0.907763,21.849097
money,3004,4,0.253355,0.128492,49.999978,46.296540,0.907763,21.849097
money,3004,5,0.253355,0.397382,49.999978,51.234653,0.907763,21.849097
money,3004,6,0.253355,0.198766,49.999999,45.305103,0.907763,21.849097
money,3004,7,0.253355,0.192957,49.999978,38.496963,0.907763,21.849097
money,3004,8,0.253355,0.244003,49.999999,49.632311,0.907763,21.849097
money,3004,9,0.253355,0.203141,49.999978,47.226612,0.907763,21.849097
money,3004,10,0.253355,0.176877,49.999978,41.071264,0.907763,21.849097
money,3005,1,0.001717,0.003967,49.944936,4.600776,0.172236,122.795154
money,3005,2,0.001718,0.000662,49.931205,14.867657,0.172236,122.795154
money,3005,3,0.001716,0.005420,49.997241,155.146223,0.172236,122.795154
money,3005,4,0.001725,0.006566,49.727091,214.411987,0.172236,122.795155
money,3005,5,0.001718,0.001831,49.931198,47.992735,0.172236,122.795155
money,3005,6,0.001718,0.001982,49.931206,56.656081,0.172236,122.795154
money,3005,7,0.001718,0.004293,49.931005,6.103538,0.172236,122.795154
money,3005,8,0.001718,0.030525,49.931198,207.552443,0.172236,122.795154
money,3005,9,0.001716,0.004707,49.986209,127.029782,0.172236,122.795155
money,3005,10,0.001717,0.006095,49.944930,177.595140,0.172236,122.795154
money,3006,1,0.108666,0.041272,5.312633,4.375658,0.381389,94.968096
money,3006,2,0.108666,0.093621,5.312633,0.757708,0.381389,94.968096
money,3006,3,0.108666,0.048520,5.312634,0.502322,0.381389,94.968096
money,3006,4,0.108666,0.488360,5.312633,2.728217,0.381389,94.968096
money,3006,5,0.108666,0.059041,5.312633,1.411268,0.381389,94.968096
money,3006,6,0.108666,0.085142,5.312633,0.680347,0.381389,94.968096
money,3006,7,0.108666,0.103664,5.312633,4.084945,0.381389,94.968096
money,3006,8,0.108666,0.049654,5.312633,1.793218,0.381389,94.968096
money,3006,9,0.108666,0.019522,5.312633,1.399441,0.381389,94.968096
money,3006,10,0.108666,0.052276,5.312633,1.172581,0.381389,94.968096
money,3010,1,0.300446,0.126323,3.425682,0.689086,0.570303,64.464102
money,3010,2,0.300446,0.183181,3.425682,0.710041,0.570303,64.464102
money,3010,3,0.300446,0.108204,3.425682,0.585439,0.570303,64.464102
money,3010,4,0.300446,0.104728,3.425682,0.849469,0.570303,64.464102
money,3010,5,0.300446,0.186105,3.425682,0.902938,0.570303,64.464102
money,3010,6,0.300446,0.134814,3.425682,0.604335,0.570303,64.464102
money,3010,7,0.300446,0.122217,3.425682,0.754422,0.570303,64.464102
money,3010,8,0.300446,0.105860,3.425682,0.776137,0.570303,64.464102
money,3010,9,0.300446,0.108749,3.425682,0.848424,0.570303,64.464102
money,3010,10,0.300446,0.101781,3.425682,0.722021,0.570303,64.464102
money,3011,1,0.722849,0.115339,3.666285,0.486498,0.628365,55.904544
money,3011,2,0.722849,0.244084,3.666285,0.352069,0.628365,55.904544
money,3011,3,0.722849,0.226140,3.666285,1.452728,0.628365,55.904544
money,3011,4,0.722849,0.118323,3.666285,0.870446,0.628365,55.904544
money,3011,5,0.722849,0.112232,3.666285,0.821117,0.628365,55.904544
money,3011,6,0.722849,0.128073,3.666285,0.621496,0.628365,55.904544
money,3011,7,0.722849,0.096229,3.666285,0.685090,0.628365,55.904544
money,3011,8,0.722849,0.116248,3.666285,0.700983,0.628365,55.904544
money,3011,9,0.722849,0.111865,3.666285,0.818857,0.628365,55.904544
money,3011,10,0.722849,0.105680,3.666285,0.832533,0.628365,55.904544
money,3014,1,0.000000,12659.742776,18.267118,163871.619118,-0.000000,140.805718
money,3014,2,0.000000,355.108975,28.289848,1511.952241,-0.000000,140.805718
money,3014,3,0.000000,13377.145685,42.890159,148750.131001,-0.000000,140.805718
money,3014,4,0.000000,3279.814053,31.944770,49006.940252,-0.000000,140.805718
money,3014,5,0.000000,14168.789177,10.764869,197035.761222,-0.000000,140.805718
money,3014,6,0.000001,1733.280826,4.700413,31419.470215,-0.000000,140.805718
money,3014,7,0.000000,1531.340972,21.387924,27879.979313,-0.000000,140.805718
money,3014,8,0.000000,11370.495684,13.365377,142530.429028,-0.000000,140.805718
money,3014,9,0.000000,9730.478568,2.398969,128862.626138,-0.000000,140.805718
money,3014,10,0.000000,0.000000,9.663683,0.000000,-0.000000,140.805718
money,3015,1,0.022518,0.007001,49.999997,3.326740,0.858524,28.823144
money,3015,2,0.022518,0.033539,49.999987,64.597817,0.858524,28.823144
money,3015,3,0.022518,0.032226,49.999598,68.028636,0.858524,28.823144
money,3015,4,0.022518,0.032105,49.999920,65.579197,0.858524,28.823144
money,3015,5,0.022518,0.027106,49.999743,63.622887,0.858524,28.823144
money,3015,6,0.022518,0.011585,49.999949,20.493526,0.858524,28.823144
money,3015,7,0.022518,0.051691,49.999997,69.825404,0.858524,28.823144
money,3015,8,0.022518,0.030752,49.999936,64.777781,0.858524,28.823144
money,3015,9,0.022518,0.031621,49.999679,66.698942,0.858524,28.823144
money,3015,10,0.022518,0.007064,49.999987,3.901198,0.858524,28.823144
money,3016,1,0.081320,0.074693,7.051657,4.535068,0.421915,89.349899
money,3016,2,0.081320,0.120276,7.051656,9.478966,0.421915,89.349899
money,3016,3,0.081320,0.028325,7.051657,1.650591,0.421915,89.349899
money,3016,4,0.081320,1.103125,7.051657,5.831295,0.421915,89.349899
money,3016,5,0.081320,0.073974,7.051657,2.006443,0.421915,89.349899
money,3016,6,0.081320,0.068047,7.051655,5.304683,0.421915,89.349899
money,3016,7,0.081320,0.047785,7.051658,1.678664,0.421915,89.349899
money,3016,8,0.081320,0.043257,7.051656,0.241344,0.421915,89.349899
money,3016,9,0.081320,0.034272,7.051655,0.955019,0.421915,89.349899
money,3016,10,0.081320,0.105400,7.051656,0.772120,0.421915,89.349899
money,3017,1,0.034344,0.121207,38.581738,99.072120,0.847251,30.385864
money,3017,2,0.034343,0.132725,38.582791,130.040908,0.847251,30.385864
money,3017,3,0.034343,0.107250,38.582395,92.251788,0.847251,30.385864
money,3017,4,0.034344,0.088440,38.581887,79.001743,0.847251,30.385864
money,3017,5,0.034343,0.074960,38.582373,123.933551,0.847251,30.385864
money,3017,6,0.034342,0.113436,38.582847,101.665405,0.847251,30.385864
money,3017,7,0.034342,0.165242,38.583449,138.911888,0.847251,30.385864
money,3017,8,0.034344,0.207420,38.581704,159.267125,0.847251,30.385864
money,3017,9,0.034342,0.112887,38.583396,101.161535,0.847251,30.385864
money,3017,10,0.034343,0.122616,38.582145,100.179510,0.847251,30.385864
money,3018,1,0.003973,0.002308,49.855128,26.571243,0.437399,87.203368
money,3018,2,0.003961,0.003459,49.998834,41.516505,0.437399,87.203368
money,3018,3,0.003961,0.004348,49.999767,52.997869,0.437399,87.203368
money,3018,4,0.003961,0.003205,49.994172,38.362834,0.437399,87.203368
money,3018,5,0.003961,0.008357,49.999767,109.341906,0.437399,87.203368
money,3018,6,0.003963,0.003873,49.970889,55.102088,0.437399,87.203368
money,3018,7,0.004019,0.004628,49.292070,55.565156,0.437399,87.203368
money,3018,8,0.003961,0.008732,49.998834,108.040407,0.437399,87.203368
money,3018,9,0.003961,0.006648,49.998834,86.431590,0.437399,87.203368
money,3018,10,0.003961,0.001930,49.995338,21.218307,0.437399,87.203368
money,3020,1,0.008171,0.003175,49.999989,4.887470,0.426478,87.086825
money,3020,2,0.008171,0.009496,49.999141,58.728293,0.426478,87.086825
money,3020,3,0.008171,0.005170,49.999989,29.878421,0.426478,87.086825
money,3020,4,0.008171,0.005308,49.999998,36.949307,0.426478,87.086825
money,3020,5,0.008171,0.010122,49.999946,62.990055,0.426478,87.086826
money,3020,6,0.008171,0.004501,49.999989,88.076376,0.426478,87.086825
money,3020,7,0.008171,0.003064,49.999732,53.758330,0.426478,87.086825
money,3020,8,0.008172,0.078575,49.998927,79.820670,0.426478,87.086825
money,3020,9,0.008171,0.022694,49.999989,146.145088,0.426478,87.086825
money,3020,10,0.008172,0.073381,49.998927,26.878933,0.426478,87.086825
money,3021,1,0.518814,0.094225,8.880462,3.477826,0.839321,31.242280
money,3021,2,0.518814,0.064968,8.880463,4.973627,0.839321,31.242280
money,3021,3,0.518814,0.080737,8.880463,2.795694,0.839321,31.242280
money,3021,4,0.518814,0.390613,8.880463,1.365590,0.839321,31.242280
money,3021,5,0.518814,0.106818,8.880463,4.159300,0.839321,31.242280
money,3021,6,0.518814,0.184820,8.880463,2.044404,0.839321,31.242280
money,3021,7,0.518814,0.084692,8.880463,3.312187,0.839321,31.242280
money,3021,8,0.518814,0.082714,8.880462,1.767782,0.839321,31.242280
money,3021,9,0.518814,0.079600,8.880463,2.571696,0.839321,31.242280
money,3021,10,0.518814,0.091983,8.880462,2.343718,0.839321,31.242280
money,3023,1,0.027542,0.007477,49.999993,6.440446,0.788366,38.235590
money,3023,2,0.027542,0.030703,49.999965,49.074529,0.788366,38.235590
money,3023,3,0.027542,0.030768,49.999993,55.675431,0.788366,38.235590
money,3023,4,0.027542,0.025173,49.999993,39.078974,0.788366,38.235590
money,3023,5,0.027542,0.029955,49.999993,58.329383,0.788366,38.235590
money,3023,6,0.027542,0.009459,49.999993,11.884746,0.788366,38.235590
money,3023,7,0.027542,0.034207,49.999993,46.501780,0.788366,38.235590
money,3023,8,0.027542,0.012422,49.999993,42.942624,0.788366,38.235590
money,3023,9,0.027542,0.040704,49.999993,47.812158,0.788366,38.235590
money,3023,10,0.027542,0.017582,49.999993,48.631869,0.788366,38.235590
money,3026,1,0.255321,0.081346,5.052259,2.608131,0.661634,52.689114
money,3026,2,0.255321,0.607737,5.052259,1.294715,0.661634,52.689114
money,3026,3,0.255321,0.125953,5.052259,0.416959,0.661634,52.689114
money,3026,4,0.255321,0.863211,5.052259,0.966753,0.661634,52.689114
money,3026,5,0.255321,0.075236,5.052259,1.146085,0.661634,52.689114
money,3026,6,0.255321,0.077472,5.052259,0.949685,0.661634,52.689114
money,3026,7,0.255321,0.090030,5.052259,0.870767,0.661634,52.689114
money,3026,8,0.255321,0.092235,5.052259,1.030860,0.661634,52.689114
money,3026,9,0.255321,0.066520,5.052259,0.655874,0.661634,52.689114
money,3026,10,0.255321,0.156355,5.052259,1.468170,0.661634,52.689114
money,3029,1,0.127460,0.144440,5.756327,0.142927,0.438204,87.091866
money,3029,2,0.127460,0.375695,5.756326,7.139081,0.438204,87.091866
money,3029,3,0.127460,1.236914,5.756326,13.165405,0.438204,87.091866
money,3029,4,0.127460,0.077061,5.756327,0.561382,0.438204,87.091866
money,3029,5,0.127460,0.062598,5.756326,1.883031,0.438204,87.091866
money,3029,6,0.127460,0.054180,5.756326,0.813889,0.438204,87.091866
money,3029,7,0.127460,0.053867,5.756327,2.414521,0.438204,87.091866
money,3029,8,0.127460,0.106619,5.756326,2.428891,0.438204,87.091866
money,3029,9,0.127460,0.089019,5.756326,4.118821,0.438204,87.091866
money,3029,10,0.127460,0.038587,5.756326,0.756646,0.438204,87.091866
money,3030,1,0.085750,0.151956,12.369786,11.089190,0.806555,36.027449
money,3030,2,0.085750,0.045488,12.369771,10.789587,0.806555,36.027449
money,3030,3,0.085750,0.483989,12.369773,8.946184,0.806555,36.027449
money,3030,4,0.085750,0.110692,12.369799,6.677311,0.806555,36.027449
money,3030,5,0.085750,0.082783,12.369772,10.402189,0.806555,36.027449
money,3030,6,0.085750,0.126281,12.369773,11.845144,0.806555,36.027449
money,3030,7,0.085750,0.046096,12.369777,4.563963,0.806555,36.027449
money,3030,8,0.085750,0.230825,12.369777,4.056584,0.806555,36.027449
money,3030,9,0.085750,0.112998,12.369777,9.260571,0.806555,36.027449
money,3030,10,0.085750,0.957940,12.369770,5.834870,0.806555,36.027449
money,3033,1,0.153676,0.927234,4.092480,8.217850,0.375178,95.829042
money,3033,2,0.153676,0.042898,4.092480,0.309745,0.375178,95.829042
money,3033,3,0.153676,0.093187,4.092480,0.564942,0.375178,95.829042
money,3033,4,0.153676,0.143558,4.092480,1.120652,0.375178,95.829042
money,3033,5,0.153676,0.089796,4.092480,1.311330,0.375178,95.829042
money,3033,6,0.153676,0.095800,4.092480,2.736961,0.375178,95.829042
money,3033,7,0.153676,0.103114,4.092480,0.266010,0.375178,95.829042
money,3033,8,0.153676,0.351729,4.092480,5.048063,0.375178,95.829042
money,3033,9,0.153676,0.098632,4.092480,2.287432,0.375178,95.829042
money,3033,10,0.153676,0.122220,4.092480,1.078038,0.375178,95.829042
money,3034,1,0.999999,0.003566,0.824907,57.236867,0.239242,104.993495
money,3034,2,0.003513,0.002029,49.935749,25.674687,0.239242,104.993495
money,3034,3,0.003508,0.005893,49.999485,81.375067,0.239242,104.993495
money,3034,4,0.003509,0.002893,49.997424,41.489374,0.239242,104.993495
money,3034,5,0.003508,0.003088,49.999485,27.566448,0.239242,104.993495
money,3034,6,1.000000,0.001568,0.824907,19.288415,0.239242,104.993495
money,3034,7,0.999999,0.004366,0.824907,90.171325,0.239242,104.993495
money,3034,8,0.003508,0.003479,49.999979,52.298486,0.239242,104.993495
money,3034,9,0.999999,0.001142,0.824907,12.491089,0.239242,104.993495
money,3034,10,0.003508,0.002073,49.999974,26.648791,0.239242,104.993495
money,3036,1,0.021835,0.068222,49.999670,97.264169,0.863790,27.884145
money,3036,2,0.021835,0.048265,49.999996,85.310897,0.863790,27.884145
money,3036,3,0.021835,0.469350,49.999984,76.262297,0.863790,27.884145
money,3036,4,0.021835,0.037071,49.999984,80.774441,0.863790,27.884145
money,3036,5,0.021835,0.009573,49.999918,15.651163,0.863790,27.884145
money,3036,6,0.021835,0.014828,49.999670,29.060733,0.863790,27.884145
money,3036,7,0.021835,0.044338,49.999996,75.355637,0.863790,27.884145
money,3036,8,0.021835,0.006891,49.999996,5.541680,0.863790,27.884145
money,3036,9,0.021835,0.010495,49.999918,18.499511,0.863790,27.884145
money,3036,10,0.021835,0.045202,49.999897,78.952145,0.863790,27.884145
money,3037,1,0.253188,0.042951,9.303132,32.789166,0.876238,25.407004
money,3037,2,0.253187,0.162797,9.303158,18.341991,0.876238,25.407004
money,3037,3,0.253188,0.054914,9.303142,47.870123,0.876238,25.407004
money,3037,4,0.064338,0.050780,40.393429,42.204824,0.876238,25.407004
money,3037,5,0.064338,0.051143,40.393514,42.704868,0.876238,25.407004
money,3037,6,0.253188,0.045689,9.303135,27.609538,0.876238,25.407004
money,3037,7,0.253188,0.050703,9.303135,42.132993,0.876238,25.407004
money,3037,8,0.253187,0.050335,9.303152,40.324680,0.876238,25.407004
money,3037,9,0.064339,0.051039,40.393244,42.348300,0.876238,25.407004
money,3037,10,0.253188,0.040220,9.303140,42.129777,0.876238,25.407004
money,3039,1,0.014394,0.388518,21.632964,0.512177,0.353817,94.208729
money,3039,2,0.964232,0.136988,1.964533,0.344142,0.353817,94.208729
money,3039,3,0.014390,0.319668,21.639067,1.015100,0.353817,94.208729
money,3039,4,0.014397,0.618137,21.629727,1.492909,0.353817,94.208729
money,3039,5,0.014389,0.467785,21.641184,0.655917,0.353817,94.208729
money,3039,6,0.964232,0.091453,1.964533,0.315792,0.353817,94.208729
money,3039,7,0.964232,0.221913,1.964533,0.308268,0.353817,94.208729
money,3039,8,0.964232,0.637713,1.964533,0.300561,0.353817,94.208729
money,3039,9,0.014390,0.279531,21.639221,2.174008,0.353817,94.208729
money,3039,10,0.014388,0.238837,21.642388,0.688646,0.353817,94.208729
money,3040,1,0.002125,0.002355,49.999762,55.550936,0.143247,126.773659
money,3040,2,0.002126,0.001034,49.970287,20.494579,0.143247,126.773659
money,3040,3,0.002125,0.006063,49.994053,125.782691,0.143247,126.773659
money,3040,4,0.002130,0.002408,49.881577,55.305716,0.143247,126.773659
money,3040,5,0.002130,0.002460,49.881566,60.771431,0.143247,126.773659
money,3040,6,0.002125,0.001721,49.994052,32.227737,0.143247,126.773659
money,3040,7,0.002132,0.001020,49.852150,19.761121,0.143247,126.773659
money,3040,8,0.002125,0.004895,49.998810,114.064400,0.143247,126.773659
money,3040,9,0.002126,0.001054,49.970289,21.038198,0.143247,126.773659
money,3040,10,0.002246,0.000585,47.336939,4.305915,0.143247,126.773659
money,3041,1,0.023863,0.009398,49.999997,14.602884,0.825315,32.639386
money,3041,2,0.023863,0.015256,49.999997,28.384630,0.825315,32.639386
money,3041,3,0.023863,0.008067,49.999986,11.670623,0.825315,32.639386
money,3041,4,0.023863,0.022383,49.999997,43.051030,0.825315,32.639386
money,3041,5,0.023863,0.028245,49.999729,57.875104,0.825315,32.639386
money,3041,6,0.023863,0.052211,49.999997,84.300618,0.825315,32.639386
money,3041,7,0.023863,0.023286,49.999932,48.446540,0.825315,32.639386
money,3041,8,0.023863,0.006855,49.999986,7.343861,0.825315,32.639386
money,3041,9,0.023863,0.019710,49.999997,39.440247,0.825315,32.639386
money,3041,10,0.023863,0.010195,49.999997,17.258602,0.825315,32.639386
money,3043,1,0.476970,0.265301,4.745679,1.119158,0.734339,45.261821
money,3043,2,0.476970,0.134892,4.745679,1.116987,0.734339,45.261821
money,3043,3,0.476970,0.119559,4.745679,0.675584,0.734339,45.261821
money,3043,4,0.476970,0.114277,4.745679,1.818020,0.734339,45.261821
money,3043,5,0.476970,0.135590,4.745679,0.462631,0.734339,45.261821
money,3043,6,0.476970,0.111539,4.745679,1.345675,0.734339,45.261821
money,3043,7,0.476970,0.234011,4.745679,1.081187,0.734339,45.261821
money,3043,8,0.476970,0.142807,4.745679,0.389796,0.734339,45.261821
money,3043,9,0.476970,0.313462,4.745679,1.479358,0.734339,45.261821
money,3043,10,0.476970,0.137765,4.745679,0.499286,0.734339,45.261821
money,3044,1,0.260084,0.080899,11.994165,5.036056,0.868213,27.479852
money,3044,2,0.260084,0.072729,11.994164,1.474510,0.868213,27.479852
money,3044,3,0.260084,0.097628,11.994164,0.549475,0.868213,27.479852
money,3044,4,0.260084,0.081638,11.994164,2.691139,0.868213,27.479852
money,3044,5,0.260084,0.080278,11.994164,2.460505,0.868213,27.479852
money,3044,6,0.260084,0.078843,11.994163,3.343859,0.868213,27.479852
money,3044,7,0.260084,0.075604,11.994164,2.402574,0.868213,27.479852
money,3044,8,0.260084,0.067476,11.994164,2.252115,0.868213,27.479852
money,3044,9,0.260084,0.144143,11.994165,4.339840,0.868213,27.479852
money,3044,10,0.260084,0.079921,11.994163,3.229616,0.868213,27.479852
money,3046,1,0.401736,0.056568,6.052972,3.791921,0.674559,54.326008
money,3046,2,0.008063,0.077308,49.878891,1.305680,0.674559,54.326008
money,3046,3,0.008042,0.076612,49.999951,2.249290,0.674559,54.326008
money,3046,4,0.008042,0.131561,49.999951,1.444293,0.674559,54.326008
money,3046,5,0.008042,0.078009,49.999961,1.286466,0.674559,54.326008
money,3046,6,0.401736,0.248433,6.052972,13.022470,0.674559,54.326008
money,3046,7,0.008042,0.077385,49.999027,1.282929,0.674559,54.326008
money,3046,8,0.401736,0.076476,6.052972,2.448019,0.674559,54.326008
money,3046,9,0.008046,0.123945,49.975694,4.878517,0.674559,54.326008
money,3046,10,0.401736,0.106258,6.052972,5.748387,0.674559,54.326008
money,3049,1,1.000000,0.218515,1.322404,0.297279,0.202534,111.878839
money,3049,2,1.000000,0.207047,1.322404,0.905704,0.202534,111.878839
money,3049,3,1.000000,0.212822,1.322404,0.758583,0.202534,111.878840
money,3049,4,1.000000,0.217923,1.322404,0.052490,0.202534,111.878839
money,3049,5,1.000000,0.219984,1.322404,3.408601,0.202534,111.878839
money,3049,6,1.000000,0.211109,1.322404,0.303401,0.202534,111.878839
money,3049,7,1.000000,0.227900,1.322404,1.026590,0.202534,111.878839
money,3049,8,0.001784,0.220524,49.990316,0.438545,0.202534,111.878839
money,3049,9,1.000000,0.223602,1.322404,0.412173,0.202534,111.878840
money,3049,10,1.000000,0.216841,1.322404,0.818728,0.202534,111.878839
money,3052,1,0.003023,0.007009,43.919006,130.988388,0.322347,102.193531
money,3052,2,0.002668,0.005749,49.604759,101.376269,0.322347,102.193530
money,3052,3,0.002647,0.000493,49.983931,3.271050,0.322347,102.193531
money,3052,4,0.002646,0.079391,49.996785,87.327876,0.322347,102.193530
money,3052,5,0.002647,0.002125,49.983946,37.952884,0.322347,102.193530
money,3052,6,0.002647,0.002414,49.983931,43.080820,0.322347,102.193530
money,3052,7,0.002646,0.000870,49.999486,12.534582,0.322347,102.193531
money,3052,8,0.002668,0.005269,49.604692,97.862717,0.322347,102.193531
money,3052,9,0.002730,0.002962,48.494353,58.699603,0.322347,102.193531
money,3052,10,0.002650,0.001026,49.919876,15.924817,0.322347,102.193531
money,3053,1,0.717812,0.076384,4.530626,0.984096,0.660936,51.795638
money,3053,2,0.717812,0.101605,4.530626,0.998257,0.660936,51.795638
money,3053,3,0.717812,0.152462,4.530626,1.055585,0.660936,51.795638
money,3053,4,0.717812,0.113677,4.530626,1.311326,0.660936,51.795638
money,3053,5,0.717812,0.213198,4.530626,0.385498,0.660936,51.795638
money,3053,6,0.717812,0.094828,4.530626,0.889026,0.660936,51.795638
money,3053,7,0.717812,0.103220,4.530626,1.110514,0.660936,51.795638
money,3053,8,0.717812,0.221773,4.530626,0.922248,0.660936,51.795638
money,3053,9,0.717812,0.119454,4.530626,0.683121,0.660936,51.795638
money,3053,10,0.717812,0.122869,4.530626,0.635458,0.660936,51.795638
money,3054,1,0.002521,0.002245,49.999415,42.451928,0.099944,122.566255
money,3054,2,0.002521,0.001305,49.997662,21.750780,0.099944,122.566255
money,3054,3,0.002521,0.001264,49.997665,19.912665,0.099944,122.566255
money,3054,4,0.002521,0.001100,49.999416,16.019368,0.099944,122.566255
money,3054,5,0.002522,0.001947,49.985415,35.356476,0.099944,122.566255
money,3054,6,0.002525,0.002848,49.927233,61.188927,0.099944,122.566255
money,3054,7,0.002521,0.000892,49.999416,8.625031,0.099944,122.566255
money,3054,8,0.002522,0.002301,49.985415,50.908536,0.099944,122.566255
money,3054,9,0.002536,0.002012,49.711295,49.089769,0.099944,122.566255
money,3054,10,0.002525,0.000907,49.927232,9.375330,0.099944,122.566255
money,4002,1,0.132420,0.508962,18.730062,14.579231,0.919992,19.908104
money,4002,2,0.132420,0.182461,18.730116,26.062927,0.919992,19.908104
money,4002,3,0.132420,0.185199,18.730092,26.474858,0.919992,19.908104
money,4002,4,0.132420,0.094050,18.730116,10.205886,0.919992,19.908104
