subject,condition,palpha,palpha_se,nalpha,nalpha_se,beta,beta_se,psuedoR2,BIC
3001,money,0.242564,0.123174,0.013703,0.008551,9.204477,2.818800,0.759264,43.535220
3001,social,0.658505,0.531741,1.000000,0.694253,0.371535,0.206244,0.061431,97.096823
3002,money,0.269721,0.481494,0.521062,0.096947,0.856628,0.403390,0.333185,87.098272
3002,social,0.281752,0.087558,0.014569,0.005256,5.135022,0.885715,0.421445,89.856186
3004,money,0.282204,6.668409,0.000000,0.020379,29.999665,2014.378274,0.828221,37.360815
3004,social,0.520334,0.304045,0.857161,0.178291,2.426019,0.648233,0.731143,50.280928
3005,money,0.004115,0.029520,0.001231,0.003317,29.948691,34.966150,0.250452,116.655742
3005,social,0.004473,0.049625,0.000000,0.028169,29.999905,3705.064106,0.098313,137.535724
3006,money,0.196816,14.704642,0.000000,0.429155,9.772194,379.832589,0.714815,53.350549
3006,social,0.692159,0.000070,0.069632,0.093896,6.019500,1.065171,0.818751,38.378815
3010,money,0.525957,0.165613,0.229083,0.000266,2.140487,0.371445,0.602310,64.870076
3010,social,0.771494,0.089815,0.183503,0.119969,0.484768,0.277584,0.250721,105.912082
3011,money,0.738762,0.307801,0.775334,0.226324,1.874916,0.629975,0.621601,61.268674
3011,social,0.000000,0.080551,0.444546,0.027926,1.830434,0.372979,0.373073,97.127115
3014,money,0.999997,3364750.258340,0.000000,74906.581670,3.737671,1775440.351504,0.761009,45.136204
3014,social,0.047322,0.043203,0.484643,0.059940,2.417762,0.643623,0.536725,70.624916
3015,money,0.107402,0.076925,0.321434,0.090891,4.868393,0.512820,0.837136,36.393281
3015,social,0.427007,34.817355,0.699718,0.497678,2.121813,4404.459822,0.795542,40.273169
3016,money,0.369213,419.756241,0.000000,0.006828,29.999906,3769.461450,0.879994,30.451933
3016,social,0.468571,0.140737,0.009807,0.006839,6.229126,1.309485,0.703427,54.929193
3017,money,0.146334,0.074746,0.512656,0.105796,6.245899,0.604214,0.861341,33.037731
3017,social,0.264674,0.203197,0.327226,0.078282,3.833933,1.329945,0.829150,37.500339
3018,money,0.225704,0.228714,0.033475,0.015496,3.057339,0.648448,0.477591,86.236757
3018,social,0.109353,5.074620,0.026021,2.677622,6.751887,11.985830,0.546370,76.702023
3020,money,0.617646,0.268491,0.014188,0.024010,29.998777,28.211953,0.955802,19.759436
3020,social,0.205852,363525.592327,0.000000,17395.704968,9.633298,3073537.584863,0.780757,43.874932
3021,money,0.300708,0.045335,0.000000,0.104962,9.070737,2.479814,0.861581,32.782396
3021,social,0.195376,0.518791,1.000000,0.006010,2.690801,849.667253,0.808001,40.135973
3023,money,0.231774,0.572520,0.465320,0.008839,3.301555,359.022430,0.765398,45.982893
3023,social,0.206402,364.203554,1.000000,5.027618,0.157480,155.514031,0.010653,143.956592
3026,money,0.117297,0.043201,0.000000,0.316302,6.797879,1.355836,0.666704,56.568117
3026,social,0.540241,0.394161,1.000000,0.012959,0.896317,7.446008,0.455779,86.120306
3029,money,0.260978,69.632137,0.000000,0.010814,29.998880,7196.024440,0.839925,36.006562
3029,social,0.999999,0.471062,0.432126,0.085641,3.865145,0.533947,0.869507,31.694644
3030,money,0.358866,0.829115,0.001172,0.002749,23.444313,25.203826,0.701925,55.137486
3030,social,0.904328,12.923421,0.267949,0.164796,2.098303,5908.190110,0.817602,38.818289
3033,money,0.279523,22.479927,0.000000,0.010956,29.999932,7014.500381,0.839940,36.004607
3033,social,0.696175,0.193324,0.295232,0.081705,1.790720,0.484517,0.597015,66.733978
3034,money,1.000000,3.757035,0.031949,0.031637,0.973760,6617.976553,0.259566,106.940394
3034,social,0.372669,0.149280,0.005283,0.012073,4.583158,1.237028,0.483409,70.437848
4001,money,0.715468,0.196771,0.765471,0.115421,3.802377,0.822523,0.797630,41.559320
4001,social,0.148653,0.040939,0.000000,0.528441,13.112819,1.183012,0.716019,52.759766
4002,money,0.220255,0.187085,0.000450,0.005418,29.999997,28.357260,0.845054,34.559756
4002,social,0.252709,0.156194,0.016005,0.108785,10.617859,0.987770,0.805961,40.116420
4003,money,0.563984,0.129653,1.000000,0.005817,1.201424,1.085735,0.670285,58.548897
4003,social,0.075481,3.562432,1.000000,12.919478,3.558271,64.999998,0.706870,54.451969
4004,money,0.418242,0.016258,1.000000,0.001902,3.029473,3.052730,0.842983,35.582654
4004,social,0.323793,311521.111902,0.000000,52.376764,29.999079,131908328.459597,0.719980,52.634474
4005,money,0.245274,0.041932,0.116460,0.283609,2.125815,0.419511,0.534565,76.311451
4005,social,0.792224,0.401595,0.183503,0.177011,5.695145,5.451922,0.770554,43.879226
4006,money,0.126524,0.218096,0.000001,0.090046,6.728816,0.608570,0.637911,64.011717
4006,social,0.409045,0.260646,0.324245,0.092087,5.508698,2.333622,0.899401,27.591866
4007,money,0.177481,0.122313,0.287611,0.105304,2.405125,0.317315,0.644827,62.007617
4007,social,0.843025,0.106718,0.566165,0.156887,1.749865,0.363222,0.601978,67.828969
4008,money,0.276011,253.592414,0.000000,0.150326,29.999932,46783.408621,0.789939,42.936114
4008,social,0.087975,0.095483,0.001782,0.009109,29.999325,30.573749,0.931495,23.312309
4009,money,0.260122,2.234092,0.606260,0.102366,3.052387,173.312206,0.771002,45.561381
4009,social,0.429888,0.233363,0.004957,0.117013,14.649966,0.811084,0.823148,38.332381
4010,money,0.095043,22.937267,0.000000,0.014571,29.993194,7125.506786,0.838840,35.140886
4010,social,0.443948,0.288448,0.246731,0.085526,3.070799,0.919752,0.772120,44.020243
4012,money,0.256618,0.065113,0.000000,0.076041,29.999105,197.325026,0.939627,22.185035
4012,social,0.179727,0.359879,0.000000,0.020565,12.491037,9.973876,0.785613,43.535859
4013,money,0.385019,0.372670,0.551669,0.763582,2.700009,0.935646,0.693341,56.327496
4013,social,0.486642,0.372883,0.200706,0.070704,2.551058,0.497819,0.736102,50.399508
4014,money,0.981064,0.050612,0.002829,0.005835,28.960740,58.707354,0.799525,41.607276
4014,social,0.697115,0.044207,0.747152,0.002802,2.881154,14.939593,0.853340,33.913391
4016,money,0.306506,3.698387,1.000000,0.674771,29.999911,12014.022557,0.869361,31.925986
4016,social,0.447190,0.255863,0.019856,0.008199,29.999998,24.147451,0.956724,19.814868
4017,money,0.258169,252.941129,0.000000,0.052197,29.999898,16181.851169,0.829959,37.388157
4017,social,0.354094,0.149314,0.022048,0.015461,8.195703,1.697036,0.787119,43.327076
4018,money,0.745737,0.273302,0.345962,0.130184,2.077442,0.362279,0.646916,60.682907
4018,social,0.087830,0.207210,0.000000,0.084101,29.999914,1.177898,0.850810,34.497595
4019,money,0.131721,36.939275,0.999445,0.213410,3.977088,10270.424393,0.818721,38.946149
4019,social,0.793760,0.383789,0.281066,0.047767,11.149836,2.505188,0.916989,25.178082
4020,money,0.400785,0.116731,0.821068,0.004298,2.461905,28.727497,0.860635,33.135567
4020,social,0.302783,89.412709,0.000000,0.039388,29.998942,148899.811736,0.629986,65.110311
